frame,time_ns,binder_target_com_a,min_heavy_atom_distance_a,ca_contacts_le_8a,hotspots_contacting,hotspot_45_contact,hotspot_47_contact,hotspot_48_contact,hotspot_50_contact,hotspot_52_contact,hotspot_56_contact
0,0.01,32.86077117919922,1.7948005739776443,76,5,1,1,1,1,1,0
1,0.02,32.743980407714844,1.770788477049654,76,5,1,1,1,1,1,0
2,0.03,33.190425872802734,1.8510811445774351,76,5,1,1,1,1,1,0
3,0.04,32.945255279541016,1.8853624152356185,76,5,1,1,1,1,1,0
4,0.05,32.87630081176758,1.8365457170810955,76,5,1,1,1,1,1,0
5,0.06,33.041873931884766,1.8630651612490354,76,5,1,1,1,1,1,0
6,0.07,32.89850997924805,1.71376602488677,76,5,1,1,1,1,1,0
7,0.08,32.89850616455078,1.8301111848398424,76,5,1,1,1,1,1,0
8,0.09,32.46579360961914,1.8844075882520885,76,5,1,1,1,1,1,0
9,0.1,32.719078063964844,1.914728626128049,76,5,1,1,1,1,1,0
10,0.11,32.83304214477539,1.8878840070767056,76,5,1,1,1,1,1,0
11,0.12,32.68875503540039,1.7525080695138469,76,5,1,1,1,1,1,0
12,0.13,32.77454376220703,1.7689846579288508,76,5,1,1,1,1,1,0
13,0.14,32.71854019165039,1.7835642150503905,76,5,1,1,1,1,1,0
14,0.15,32.82646179199219,1.826145960716686,76,5,1,1,1,1,1,0
15,0.16,32.888397216796875,1.8082584909709571,76,5,1,1,1,1,1,0
16,0.17,33.18413543701172,1.9192968201477434,76,5,1,1,1,1,1,0
17,0.18,32.77756881713867,1.8702610629442815,76,5,1,1,1,1,1,0
18,0.19,32.80354690551758,1.5592924088097988,76,5,1,1,1,1,1,0
19,0.2,32.806312561035156,1.8077060802562828,76,5,1,1,1,1,1,0
20,0.21,32.90150451660156,1.8489475469227559,76,5,1,1,1,1,1,0
21,0.22,32.87360763549805,1.72907219059005,76,5,1,1,1,1,1,0
22,0.23,32.959320068359375,1.7976371557942972,76,5,1,1,1,1,1,0
23,0.24,33.348121643066406,1.7561865257678064,76,5,1,1,1,1,1,0
24,0.25,33.46074295043945,1.7351912168324592,76,5,1,1,1,1,1,0
25,0.26,33.09328079223633,1.6911883763881246,76,5,1,1,1,1,1,0
26,0.27,32.9630012512207,1.538378344728588,76,5,1,1,1,1,1,0
27,0.28,32.97624588012695,1.858091526242451,76,5,1,1,1,1,1,0
28,0.29,32.666446685791016,1.9668531560063522,76,5,1,1,1,1,1,0
29,0.3,32.857208251953125,1.6917150528287028,76,5,1,1,1,1,1,0
30,0.31,33.016212463378906,1.7153752157349358,76,5,1,1,1,1,1,0
31,0.32,32.8928108215332,1.7981664329998526,76,5,1,1,1,1,1,0
32,0.33,32.90884780883789,1.574130350931845,76,5,1,1,1,1,1,0
33,0.34,32.99022674560547,1.8212919608734197,76,5,1,1,1,1,1,0
34,0.35,33.23503494262695,1.9407462055488087,76,5,1,1,1,1,1,0
35,0.36,33.423583984375,1.9030497214208513,76,5,1,1,1,1,1,0
36,0.37,33.536598205566406,2.038676447382351,76,5,1,1,1,1,1,0
37,0.38,33.44076919555664,1.713856591417088,76,5,1,1,1,1,1,0
38,0.39,33.13561248779297,1.9582875271701448,76,5,1,1,1,1,1,0
39,0.4,33.496944427490234,1.9303910091655205,76,5,1,1,1,1,1,0
40,0.41,33.3013916015625,1.8322401866478994,76,5,1,1,1,1,1,0
41,0.42,33.08866882324219,1.8707479896563288,76,5,1,1,1,1,1,0
42,0.43,33.082611083984375,2.0818518970359725,76,5,1,1,1,1,1,0
43,0.44,33.07925033569336,1.8284690231200995,76,5,1,1,1,1,1,0
44,0.45,33.480323791503906,1.8127891859163854,76,5,1,1,1,1,1,0
45,0.46,33.72357940673828,1.821673725716663,76,5,1,1,1,1,1,0
46,0.47,33.594200134277344,1.8659321289887616,76,5,1,1,1,1,1,0
47,0.48,33.662418365478516,1.9182841167696913,76,5,1,1,1,1,1,0
48,0.49,33.85655975341797,2.081802394202021,76,5,1,1,1,1,1,0
49,0.5,33.62247085571289,1.7905070698109855,76,5,1,1,1,1,1,0
50,0.51,33.49783706665039,1.8494600157559031,76,5,1,1,1,1,1,0
51,0.52,33.175174713134766,1.8998147982649962,76,5,1,1,1,1,1,0
52,0.53,33.75099182128906,1.7861942756161224,76,5,1,1,1,1,1,0
53,0.54,33.432777404785156,1.8496221018263528,76,5,1,1,1,1,1,0
54,0.55,33.02298355102539,1.8282478799875144,76,5,1,1,1,1,1,0
55,0.56,33.37519073486328,1.9561963304516468,76,5,1,1,1,1,1,0
56,0.57,33.37583923339844,1.8286899726358279,76,5,1,1,1,1,1,0
57,0.58,33.425148010253906,1.8221707261968116,76,5,1,1,1,1,1,0
58,0.59,32.97572708129883,1.810691174638505,76,5,1,1,1,1,1,0
59,0.6,33.193729400634766,1.7780844198562618,76,5,1,1,1,1,1,0
60,0.61,33.21388244628906,1.7762313010671233,76,5,1,1,1,1,1,0
61,0.62,33.199951171875,1.950129488046551,76,5,1,1,1,1,1,0
62,0.63,33.22419357299805,1.8188162708134787,76,5,1,1,1,1,1,0
63,0.64,33.31612777709961,1.8108547927897145,76,5,1,1,1,1,1,0
64,0.65,33.137271881103516,1.9296653212360957,76,5,1,1,1,1,1,0
65,0.66,33.15057373046875,1.7525403558774693,76,5,1,1,1,1,1,0
66,0.67,32.817134857177734,1.6237280976809128,76,5,1,1,1,1,1,0
67,0.68,33.17928695678711,1.868258900905034,76,5,1,1,1,1,1,0
68,0.69,33.2621955871582,1.745419752472049,76,5,1,1,1,1,1,0
69,0.7,33.22917938232422,1.9125354407597344,76,5,1,1,1,1,1,0
70,0.71,33.285282135009766,1.8764311310802362,76,5,1,1,1,1,1,0
71,0.72,33.23903274536133,1.8075666427509156,76,5,1,1,1,1,1,0
72,0.73,33.19662857055664,1.8030553487656569,76,5,1,1,1,1,1,0
73,0.74,33.24681854248047,1.926993217294257,76,5,1,1,1,1,1,0
74,0.75,33.564300537109375,1.9643067186721315,76,5,1,1,1,1,1,0
75,0.76,33.693016052246094,1.8324603691910397,76,5,1,1,1,1,1,0
76,0.77,33.36109924316406,1.9578852973730623,76,5,1,1,1,1,1,0
77,0.78,33.14356231689453,1.8468902597604033,76,5,1,1,1,1,1,0
78,0.79,33.46949768066406,1.8330846884752758,76,5,1,1,1,1,1,0
79,0.8,33.026973724365234,1.813005102881335,76,5,1,1,1,1,1,0
80,0.81,33.178184509277344,2.0722186368154527,76,5,1,1,1,1,1,0
81,0.82,33.09224319458008,1.9400511776246803,76,5,1,1,1,1,1,0
82,0.83,33.15729904174805,1.8622002654120815,76,5,1,1,1,1,1,0
83,0.84,32.926700592041016,1.8149680016652787,76,5,1,1,1,1,1,0
84,0.85,33.32625198364258,1.7985034630042143,76,5,1,1,1,1,1,0
85,0.86,33.49827194213867,1.9433234371703432,76,5,1,1,1,1,1,0
86,0.87,33.12386703491211,1.7309819454549256,76,5,1,1,1,1,1,0
87,0.88,33.00481033325195,1.774537194330027,76,5,1,1,1,1,1,0
88,0.89,33.057281494140625,1.8232692933846786,76,5,1,1,1,1,1,0
89,0.9,33.50593948364258,1.9519208788241977,76,5,1,1,1,1,1,0
90,0.91,33.282649993896484,1.8758747943032246,76,5,1,1,1,1,1,0
91,0.92,33.29571533203125,2.063516774115219,76,5,1,1,1,1,1,0
92,0.93,33.20582962036133,1.8211516364936309,76,5,1,1,1,1,1,0
93,0.94,33.013797760009766,1.8841680618477106,76,5,1,1,1,1,1,0
