frame,time_ns,binder_target_com_a,min_heavy_atom_distance_a,ca_contacts_le_8a,hotspots_contacting,hotspot_45_contact,hotspot_47_contact,hotspot_48_contact,hotspot_50_contact,hotspot_52_contact,hotspot_56_contact
0,0.01,32.81348419189453,1.8548039483422298,76,4,0,1,1,1,1,0
1,0.02,33.160892486572266,1.8642152983466669,76,4,0,1,1,1,1,0
2,0.03,33.41398620605469,1.7468221294549904,76,4,0,1,1,1,1,0
3,0.04,33.09300231933594,1.7861057538964282,76,4,0,1,1,1,1,0
4,0.05,32.845916748046875,1.6637599600368682,76,4,0,1,1,1,1,0
5,0.06,33.16598892211914,1.8237681389592417,76,4,0,1,1,1,1,0
6,0.07,32.82169723510742,1.954888822320677,76,4,0,1,1,1,1,0
7,0.08,32.934547424316406,1.7364352153457085,76,5,1,1,1,1,1,0
8,0.09,33.21963119506836,1.8931676890738958,76,4,0,1,1,1,1,0
9,0.1,32.97887420654297,1.8220391162788527,76,5,1,1,1,1,1,0
10,0.11,33.09183120727539,1.7186573270615966,76,5,1,1,1,1,1,0
11,0.12,33.10506057739258,1.7474607973614602,76,5,1,1,1,1,1,0
12,0.13,33.10216522216797,1.7096777923608526,76,5,1,1,1,1,1,0
13,0.14,33.66593551635742,1.8111334877654457,76,5,1,1,1,1,1,0
14,0.15,33.39404296875,1.8501336003214115,76,5,1,1,1,1,1,0
15,0.16,33.54376220703125,1.751824085976514,76,5,1,1,1,1,1,0
16,0.17,33.17652130126953,1.7880154294711834,76,5,1,1,1,1,1,0
17,0.18,33.14069366455078,1.8704093281308345,76,4,0,1,1,1,1,0
18,0.19,33.05054473876953,1.8901284673804664,76,5,1,1,1,1,1,0
19,0.2,33.33672332763672,1.7560184873004376,76,5,1,1,1,1,1,0
20,0.21,33.542442321777344,1.9396155025525261,76,5,1,1,1,1,1,0
21,0.22,33.42527770996094,1.9428298171512035,76,5,1,1,1,1,1,0
22,0.23,33.54365921020508,1.8177153901317995,76,5,1,1,1,1,1,0
23,0.24,33.23766326904297,1.7056947428193303,76,5,1,1,1,1,1,0
24,0.25,33.387149810791016,1.9617868686254794,76,5,1,1,1,1,1,0
25,0.26,33.06175231933594,2.0628655334358452,76,5,1,1,1,1,1,0
26,0.27,33.557701110839844,2.0877766251645022,76,5,1,1,1,1,1,0
27,0.28,33.59922409057617,1.6655051221916142,76,5,1,1,1,1,1,0
28,0.29,33.45962905883789,1.8148827120363498,76,5,1,1,1,1,1,0
29,0.3,33.76691818237305,1.8661443297426952,76,5,1,1,1,1,1,0
30,0.31,33.676841735839844,1.7783718969942555,76,5,1,1,1,1,1,0
31,0.32,33.544559478759766,1.6971237885095039,76,5,1,1,1,1,1,0
32,0.33,33.698577880859375,1.9275143705226985,76,5,1,1,1,1,1,0
33,0.34,33.6725959777832,1.9040492851896431,76,5,1,1,1,1,1,0
34,0.35,33.44957733154297,1.9027907641874509,76,5,1,1,1,1,1,0
35,0.36,33.66033172607422,1.7718367276452973,76,5,1,1,1,1,1,0
36,0.37,33.82494354248047,1.8379586962698953,76,5,1,1,1,1,1,0
37,0.38,33.68330383300781,1.7378374012130329,76,5,1,1,1,1,1,0
38,0.39,33.57378387451172,1.8560439840238538,76,5,1,1,1,1,1,0
39,0.4,33.32956314086914,2.0169770848173236,76,5,1,1,1,1,1,0
40,0.41,33.562957763671875,2.000620898196359,76,5,1,1,1,1,1,0
41,0.42,33.58270263671875,1.8527035521949835,76,5,1,1,1,1,1,0
42,0.43,33.771217346191406,2.0116952046676135,76,5,1,1,1,1,1,0
43,0.44,33.544769287109375,2.186932954554388,76,5,1,1,1,1,1,0
44,0.45,34.134117126464844,1.8717399947482471,76,5,1,1,1,1,1,0
45,0.46,33.920989990234375,1.8883071883247726,76,4,0,1,1,1,1,0
46,0.47,34.13408660888672,1.8419063602557704,76,4,0,1,1,1,1,0
47,0.48,34.11833953857422,1.9129577950502394,76,4,0,1,1,1,1,0
48,0.49,33.85124969482422,1.8312362414315553,76,5,1,1,1,1,1,0
49,0.5,33.768775939941406,1.795238748910041,76,5,1,1,1,1,1,0
50,0.51,34.11456298828125,1.8221219145790042,76,5,1,1,1,1,1,0
51,0.52,33.91254806518555,1.724442574051271,76,4,0,1,1,1,1,0
52,0.53,33.70451736450195,1.9642264764187407,76,4,0,1,1,1,1,0
53,0.54,33.42241287231445,1.9242886330301627,76,5,1,1,1,1,1,0
54,0.55,33.43012237548828,1.8282789748877653,76,5,1,1,1,1,1,0
55,0.56,33.728736877441406,1.747624616433786,76,5,1,1,1,1,1,0
56,0.57,33.62605667114258,1.7579780824849989,76,4,0,1,1,1,1,0
57,0.58,33.68741989135742,1.663638456463771,76,4,0,1,1,1,1,0
58,0.59,33.663265228271484,1.808455262655182,76,4,0,1,1,1,1,0
59,0.6,33.681922912597656,1.720001220703125,76,5,1,1,1,1,1,0
60,0.61,34.0396728515625,1.7266693644538402,76,5,1,1,1,1,1,0
61,0.62,33.73151779174805,1.8613452148686487,76,4,0,1,1,1,1,0
62,0.63,33.86104965209961,1.809592434023158,76,4,0,1,1,1,1,0
63,0.64,33.37883377075195,1.7109412778314323,76,4,0,1,1,1,1,0
64,0.65,33.9902229309082,1.7748808175495803,76,4,0,1,1,1,1,0
65,0.66,33.71393966674805,1.7942651588714336,76,4,0,1,1,1,1,0
66,0.67,33.42362976074219,2.0377985126998075,76,4,0,1,1,1,1,0
67,0.68,33.482112884521484,1.8643215199172087,76,4,0,1,1,1,1,0
68,0.69,33.36003112792969,1.9743596969136854,76,4,0,1,1,1,1,0
69,0.7,33.7492790222168,2.004667412246879,76,4,0,1,1,1,1,0
70,0.71,33.724708557128906,1.7626401224942287,76,4,0,1,1,1,1,0
71,0.72,33.91053009033203,1.7174937134823944,76,4,0,1,1,1,1,0
72,0.73,34.05931091308594,1.6836540683186816,76,5,1,1,1,1,1,0
73,0.74,33.8918571472168,1.877472525852283,76,5,1,1,1,1,1,0
74,0.75,33.59619903564453,1.839072750155009,76,5,1,1,1,1,1,0
75,0.76,33.425994873046875,2.0203260336244604,76,4,0,1,1,1,1,0
76,0.77,33.441280364990234,1.9359993062046406,76,5,1,1,1,1,1,0
77,0.78,33.38925552368164,1.8572577789651314,76,5,1,1,1,1,1,0
78,0.79,33.687355041503906,2.164650824675463,76,5,1,1,1,1,1,0
79,0.8,33.70234680175781,2.051979536089235,76,4,0,1,1,1,1,0
80,0.81,33.62335205078125,1.8844146329661573,76,4,0,1,1,1,1,0
81,0.82,33.62580108642578,1.9472289082561818,76,4,0,1,1,1,1,0
82,0.83,33.45570373535156,2.0879665356934702,76,4,0,1,1,1,1,0
83,0.84,33.382789611816406,1.786334463154983,76,4,0,1,1,1,1,0
84,0.85,33.708045959472656,2.0580814627367894,76,4,0,1,1,1,1,0
85,0.86,33.89519119262695,2.2059281860521796,76,4,0,1,1,1,1,0
86,0.87,33.54494857788086,2.1573375045767205,76,4,0,1,1,1,1,0
87,0.88,33.66195297241211,2.0894509750705557,76,4,0,1,1,1,1,0
88,0.89,33.695945739746094,2.3138960214289983,76,5,1,1,1,1,1,0
89,0.9,33.60525131225586,1.922132578495537,76,5,1,1,1,1,1,0
90,0.91,33.8763313293457,1.7219486012910175,76,4,0,1,1,1,1,0
91,0.92,33.6695556640625,1.8751226986270688,76,5,1,1,1,1,1,0
92,0.93,33.69772720336914,1.7775022808828331,76,4,0,1,1,1,1,0
93,0.94,33.7929801940918,1.8909517360364474,76,5,1,1,1,1,1,0
94,0.95,33.58878707885742,2.2125556571628993,76,4,0,1,1,1,1,0
95,0.96,33.14387512207031,1.9030491200669102,76,5,1,1,1,1,1,0
96,0.97,33.09054946899414,1.9407492128894375,76,5,1,1,1,1,1,0
97,0.98,33.3245964050293,1.6383168864714963,76,5,1,1,1,1,1,0
98,0.99,33.3853645324707,1.8190367360891002,76,5,1,1,1,1,1,0
99,1.0,33.47303771972656,1.8733943906708652,76,4,0,1,1,1,1,0
100,1.01,33.42445373535156,1.801275858221843,76,4,0,1,1,1,1,0
